0,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,new term,int_rates_add_2pct
1,112435993,,2300,2300,2300,36 months,12.62,77.08,C,C1,Jun-17,Current,n,,credit_card,Credit card refinancing,148xx,NY,21.61,0,Sep-85,1,,,4,0,3911,55.1,6,w,48 months,14.62
2,112290210,,16000,16000,16000,60 months,12.62,360.95,C,C1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,021xx,MA,25.61,0,Jun-92,0,,,9,0,33752,105.8,26,w,None,14.62
3,112436985,,6025,6025,6025,36 months,15.05,209.01,C,C4,Jun-17,Current,n,,home_improvement,Home improvement,018xx,MA,8.88,0,Jun-02,0,,,11,0,12425,44.9,27,w,48 months,17.05
4,112439006,,20400,20400,20400,36 months,9.44,652.91,B,B1,Jun-17,Current,n,,car,Car financing,913xx,CA,27.06,0,Jan-07,1,,,15,0,8769,18.7,19,w,48 months,11.44
5,112438929,,13000,13000,13000,36 months,11.99,431.73,B,B5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,560xx,MN,6.79,1,Feb-02,0,16,,5,0,6866,88.0,24,w,48 months,13.99
6,112230200,,12000,12000,12000,36 months,9.44,384.06,B,B1,Jun-17,Current,n,,debt_consolidation,Debt consolidation,184xx,PA,18.34,0,Aug-97,0,35,83,14,1,15025,58.2,30,w,48 months,11.44
7,112210041,,6000,6000,6000,36 months,10.42,194.79,B,B3,Jun-17,Current,n,,medical,Medical expenses,773xx,TX,30.63,0,Mar-92,0,70,71,10,1,9332,59.1,28,w,48 months,12.42
8,112360031,,12000,12000,12000,60 months,15.05,285.8,C,C4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,953xx,CA,31.43,0,Feb-06,1,,,10,0,15227,79.7,12,w,None,17.05
9,112038251,,11575,11575,11575,36 months,7.35,359.26,A,A4,Jun-17,Fully Paid,n,,credit_card,Credit card refinancing,923xx,CA,16.99,0,Jul-94,0,24,84,20,1,8550,22.7,46,w,None,9.35
10,112134207,,20400,20400,20400,60 months,7.97,413.35,A,A5,Jun-17,Current,n,,major_purchase,Major purchase,286xx,NC,11.07,0,May-87,1,40,,8,0,5294,8.1,21,w,None,9.969999999999999
11,112149045,,7200,7200,7200,36 months,24.85,285.7,E,E3,Jun-17,Fully Paid,n,,debt_consolidation,Debt consolidation,985xx,WA,6.07,0,Jan-00,0,72,,4,0,3560,98.9,5,w,None,26.85
12,112436898,,4000,4000,4000,36 months,7.97,125.3,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,344xx,FL,13.03,0,Aug-05,0,24,,11,0,3870,34.6,11,w,48 months,9.969999999999999
13,112156030,,10000,10000,10000,36 months,9.93,322.35,B,B2,Jun-17,Current,n,,credit_card,Credit card refinancing,210xx,MD,8.99,0,Aug-05,1,51,72,13,2,11868,20.5,15,w,48 months,11.93
14,112119128,,25000,25000,25000,60 months,15.05,595.41,C,C4,Jun-17,Current,n,,credit_card,Credit card refinancing,852xx,AZ,15.98,0,Dec-97,0,,,13,0,26947,73.2,18,w,None,17.05
15,112441150,,20000,20000,20000,36 months,10.91,653.93,B,B4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,605xx,IL,20.82,0,Jun-66,0,,,15,0,30759,17.8,30,w,48 months,12.91
16,112438887,,15000,15000,15000,36 months,7.97,469.84,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,631xx,MO,11.2,0,Aug-07,0,,,14,0,14460,28.9,26,w,48 months,9.969999999999999
17,112390231,,20000,20000,20000,36 months,9.44,640.1,B,B1,Jun-17,Current,n,,credit_card,Credit card refinancing,300xx,GA,25.61,2,Aug-92,0,16,,8,0,20589,81.7,14,w,48 months,11.44
18,112156817,,10000,10000,10000,36 months,7.21,309.74,A,A3,Jun-17,Current,n,,credit_card,Credit card refinancing,327xx,FL,6.58,0,Aug-93,2,44,,12,0,18633,32.7,59,w,48 months,9.21
19,111927706,,9600,9600,9600,36 months,7.97,300.7,A,A5,Jun-17,Current,n,,credit_card,Credit card refinancing,880xx,NM,18.34,0,Aug-05,0,37,,16,0,11808,48.6,44,w,48 months,9.969999999999999
20,112260236,,2400,2400,2400,36 months,11.99,79.71,B,B5,Jun-17,Current,n,,vacation,Vacation,601xx,IL,16.19,1,Apr-07,0,23,,16,0,8930,66.6,35,w,48 months,13.99
21,112436935,,6000,6000,6000,36 months,9.44,192.03,B,B1,Jun-17,Current,n,,credit_card,Credit card refinancing,606xx,IL,6.97,0,Dec-07,1,,,3,0,5054,71.2,13,w,48 months,11.44
22,112436920,,26000,26000,26000,36 months,9.93,838.1,B,B2,Jun-17,Current,n,,home_improvement,Home improvement,198xx,DE,12.19,0,Jul-98,0,,69,7,1,6857,12.4,10,w,48 months,11.93
23,111743276,,8000,8000,8000,36 months,14.08,273.74,C,C3,Jun-17,Current,n,,vacation,Vacation,070xx,NJ,31.58,0,Nov-06,0,,,16,0,36658,86.7,28,w,48 months,16.08
24,112432991,,3000,3000,3000,36 months,7.97,93.97,A,A5,Jun-17,Current,n,,debt_consolidation,Debt consolidation,483xx,MI,12.71,0,Jul-07,1,38,,10,0,3443,31.0,17,w,48 months,9.969999999999999
25,112052261,,7500,7500,7500,36 months,7.35,232.79,A,A4,Jun-17,Fully Paid,n,,debt_consolidation,Debt consolidation,750xx,TX,13.12,0,Mar-13,2,,,19,0,23348,27.2,27,w,None,9.35
26,111498756,,12000,12000,12000,60 months,14.08,279.72,C,C3,Jun-17,Current,n,,debt_consolidation,Debt consolidation,802xx,CO,32.49,0,Jul-98,0,,,9,0,13155,44.9,18,w,None,16.08
27,112441324,,3600,3600,3600,36 months,7.35,111.74,A,A4,Jun-17,Current,n,,credit_card,Credit card refinancing,658xx,MO,9.55,0,Oct-92,0,,,12,0,12060,11.7,30,w,48 months,9.35
28,112437968,,7000,7000,7000,36 months,7.35,217.27,A,A4,Jun-17,Current,n,,debt_consolidation,Debt consolidation,300xx,GA,19.22,0,Nov-04,1,54,,8,0,20055,79.0,12,w,48 months,9.35
29,112314147,,12000,12000,12000,60 months,30.65,393.05,F,F4,Jun-17,Current,n,,house,Home buying,970xx,OR,19.9,2,Aug-99,0,13,,17,0,26371,78.0,40,w,None,32.65
30,112270114,,4200,4200,4200,36 months,10.91,137.33,B,B4,Jun-17,Current,n,,other,Other,606xx,IL,31.28,0,Sep-04,0,37,16,23,2,9594,66.2,33,w,48 months,12.91
31,112156214,,5000,5000,5000,36 months,7.35,155.19,A,A4,Jun-17,Current,n,,car,Car financing,481xx,MI,15.76,0,Oct-04,1,72,,12,0,3697,13.2,25,w,48 months,9.35
